"msg_id","user_id","content","time"
"4","922","您收藏的商品降价了！","12/04/2023 08:53:24"
"5","1354","您收藏的商品降价了！","20/04/2022 10:39:38"
"6","1494","您收藏的商品降价了！","27/04/2020 16:23:17"
"7","622","您收藏的商品降价了！","21/11/2021 20:10:23"
"8","1192","您收藏的商品降价了！","17/07/2022 03:59:12"
"9","1511","您收藏的商品降价了！","16/03/2022 09:48:05"
"10","1480","您收藏的商品降价了！","09/04/2021 19:19:47"
"11","1560","您收藏的商品降价了！","08/05/2023 04:51:33"
"12","894","您收藏的商品降价了！","08/01/2022 13:58:23"
"13","1181","您收藏的商品降价了！","15/11/2021 13:23:34"
"14","707","您收藏的商品降价了！","30/11/2020 20:59:58"
"15","1460","您收藏的商品降价了！","26/01/2021 17:18:40"
"16","803","您收藏的商品降价了！","07/05/2023 19:25:27"
"17","1548","您收藏的商品降价了！","29/06/2022 13:38:59"
"18","1475","您收藏的商品降价了！","22/10/2023 10:47:47"
"19","1224","您收藏的商品降价了！","20/09/2022 05:09:31"
"20","727","您收藏的商品降价了！","28/04/2020 19:27:49"
"21","1039","您收藏的商品降价了！","03/05/2020 17:52:56"
"22","774","您收藏的商品降价了！","18/11/2020 11:10:45"
"23","1205","您收藏的商品降价了！","08/03/2023 12:55:06"
"24","1410","您收藏的商品降价了！","20/04/2023 01:21:28"
"25","743","您收藏的商品降价了！","29/04/2020 20:04:24"
"26","1065","您收藏的商品降价了！","24/09/2021 21:05:53"
"27","722","您收藏的商品降价了！","12/05/2020 15:14:01"
"28","768","您收藏的商品降价了！","09/01/2022 22:02:37"
"29","1027","您收藏的商品降价了！","21/04/2022 16:22:38"
"30","716","您收藏的商品降价了！","22/02/2021 01:31:00"
"31","669","您收藏的商品降价了！","26/07/2022 02:24:05"
"33","1451","您收藏的商品降价了！","18/01/2021 20:08:21"
"34","1346","您收藏的商品降价了！","12/02/2021 20:41:52"
"35","1210","您收藏的商品降价了！","18/06/2021 19:28:53"
"36","674","您收藏的商品降价了！","01/02/2020 09:14:58"
"37","947","您收藏的商品降价了！","09/08/2020 07:47:29"
"38","1173","您收藏的商品降价了！","06/12/2023 19:41:59"
"39","874","您收藏的商品降价了！","14/11/2020 14:14:01"
"40","1485","您收藏的商品降价了！","20/07/2020 16:25:32"
"41","806","您收藏的商品降价了！","10/05/2023 19:09:29"
"42","798","您收藏的商品降价了！","03/09/2021 08:14:24"
"43","749","您收藏的商品降价了！","17/07/2020 01:01:25"
"44","1154","您收藏的商品降价了！","04/03/2021 15:28:28"
"45","715","您收藏的商品降价了！","17/10/2021 08:58:40"
"46","1358","您收藏的商品降价了！","02/09/2022 08:34:59"
"47","1381","您收藏的商品降价了！","26/10/2020 03:09:23"
"48","884","您收藏的商品降价了！","31/03/2022 00:40:13"
"49","1067","您收藏的商品降价了！","07/11/2020 23:28:04"
"50","768","您收藏的商品降价了！","14/03/2023 16:01:59"
"51","1564","您收藏的商品降价了！","04/09/2023 23:22:45"
"52","877","您收藏的商品降价了！","13/06/2020 08:42:56"
"53","652","您收藏的商品降价了！","03/02/2022 02:50:08"
"54","758","您收藏的商品降价了！","18/04/2023 09:20:05"
"55","783","您收藏的商品降价了！","09/10/2023 09:05:22"
"56","1554","您收藏的商品降价了！","09/02/2021 15:30:22"
"57","813","您收藏的商品降价了！","10/04/2021 11:35:11"
"58","700","您收藏的商品降价了！","24/05/2023 07:16:30"
"59","899","您收藏的商品降价了！","26/08/2021 02:27:12"
"60","1461","您收藏的商品降价了！","18/06/2020 16:16:00"
"61","1285","您收藏的商品降价了！","07/12/2022 03:41:17"
"62","868","您收藏的商品降价了！","28/04/2022 15:15:56"
"63","1379","您收藏的商品降价了！","06/01/2020 01:30:12"
"64","1466","您收藏的商品降价了！","04/04/2021 10:43:51"
"65","657","您收藏的商品降价了！","03/11/2020 14:38:07"
"66","1302","您收藏的商品降价了！","29/04/2023 06:39:24"
"67","1369","您收藏的商品降价了！","29/07/2021 22:18:09"
"68","1385","您收藏的商品降价了！","06/10/2021 19:01:46"
"69","1102","您收藏的商品降价了！","31/12/2021 00:32:26"
"70","1324","您收藏的商品降价了！","01/06/2020 06:54:57"
"71","1328","您收藏的商品降价了！","24/09/2023 06:52:44"
